timestamp,build_tag,our_color,opponent,opponent_elo,score_for_us,termination,plies,median_depth,total_clock_spend_s,v1_ever_played,depth_collapse_count,moves_uci,source_log,source_pgn
2026-09-07T11:00:55+00:00,unknown,black,Gambit,,0.5,threefold_repetition,130,,0,0,0,g8f6 f1b5 f8e7 d4c5 e8g8 e1g1 e7c5 d2b3 c5b6 f1e1 b6f2 g1f2 d8b6 f3d4 c8g4 b5e2 g4e2 e1e2 f8e8 e2e8 a8e8 f2g1 c6e5 a1b1 a7a5 a3a4 e5c4 b1a1 e8e4 a1a2 f6g4 c1g5 b6g6 h2h4 g6d6 d4f3 c4e5 g2g3 d6b6 f3d4 e4e1 d1e1 e5f3 g1f1 f3e1 f1e1 h7h6 g5f4 b6f6 d4f3 g4e3 f4e3 f6f3 e3f4 g7g5 h4g5 h6g5 f4c7 d5d4 e1d2 f3e3 d2d1 d4d3 c2d3 e3d3 b3d2 d3d7 c7a5 d7d5 a2a3 d5a5 d1c1 g8g7 d2c4 a5b4 c4e3 b7b6 e3c2 b4e4 b2b4 e4d5 a4a5 b6a5 b4a5 d5h1 c1b2 h1b7 b2c3 b7c6 c3d2 c6g2 d2c1 g2f1 c1b2 f1a6 b2c3 f7f5 c2d4 g7f7 a3a4 f7f6 c3c2 g5g4 c2d2 f6e5 d2e3 a6h6 e3d3 h6h3 a5a6 h3g3 d3c4 g3e3 d4c6 e5d6 a6a7 e3c1 c4b3 c1d1 b3b4 d1d2 b4c4 d2c2 c4b4 c2b2 b4c4 b2c2 c4b4 c2b2 b4c4,aichessathon-round-25-gambit.log,aichessathon-round-25-gambit.pgn
2026-09-07T11:00:55+00:00,unknown,white,Skill Issue,,0.0,checkmate,117,,0,0,0,b8d7 b1d2 d8e7 c3c4 e4d2 c1d2 e7e4 e1g1 e8g8 f1e1 d5c4 e2c4 e4c6 a1c1 c6b6 d1c2 d7f6 a2a4 a7a5 d2e3 c8d7 f3e5 d6b4 e1e2 a8d8 c4b3 b6a6 e3g5 d7e6 g5f6 g7f6 b3e6 f7e6 e5f3 d8e8 h3h4 f8f7 h4h5 f7d7 c2e4 b4d6 c1c2 f6f5 e4e3 a6b6 f3g5 d7e7 h5h6 e6e5 e3d3 b6d4 d3b3 g8f8 c2c4 d4d5 b3c2 e5e4 e2e1 d5e5 g2g3 e5f6 f2f4 e4f3 e1e7 e8e7 g5f3 f8e8 f3d4 e7e1 g1f2 d6g3 f2g2 g3e5 d4f5 f6g5 g2f3 e1f1 f3e2 f1f5 c2e4 f5f4 e4f4 e5f4 c4e4 e8f7 e2f1 g5f5 e4f4 f5f4 f1g2 f4h6 b2b3 h6e6 g2f3 e6b3 f3e2 b3a4 e2d3 a4b3 d3d2 a5a4 d2e2 a4a3 e2f2 a3a2 f2g2 a2a1q g2f2 a1a2 f2e1 b3e3 e1f1 a2a1 f1g2 a1a2 g2h1 e3c1,aichessathon-round-26-skill-issue.log,aichessathon-round-26-skill-issue.pgn
2026-09-07T11:00:55+00:00,unknown,black,Yumo,,0.0,checkmate,80,,0,0,0,g8f6 f1b5 f8e7 d4c5 e8g8 b2b4 a7a5 a1b1 a5b4 a3b4 c8g4 e1g1 f6e4 d2e4 d5e4 d1d8 f8d8 b5c6 b7c6 f3e5 g4d7 e5d7 d8d7 c1e3 a8a4 c2c3 d7d8 g2g4 e7f6 c3c4 f6e5 b4b5 a4c4 b5c6 c4a4 f1d1 d8c8 b1b6 a4a3 d1d7 a3d3 d7e7 f7f6 b6b7 g8h8 c6c7 d3a3 e7d7 a3d3 c5c6 c8e8 d7e7 e8g8 e7e5 d3a3 b7b8 a3a1 g1g2 a1a8 e5b5 g7g5 b8a8 g8a8 b5b8 a8b8 c7b8q h8g7 e3g5 h7h5 g4h5 f6g5 c6c7 g5g4 c7c8q g7f6 b8f4 f6g7 c8f8 g7h7 f4e4,aichessathon-round-27-yumo.log,aichessathon-round-27-yumo.pgn
2026-09-07T11:00:55+00:00,unknown,white,DGS ELO,,1.0,checkmate,94,,0,0,0,c6a5 d2d4 c8b7 d4e5 d6e5 f3e5 a5b3 d1d8 a8d8 a2b3 e8g8 e5d3 f6e4 f2f3 e7c5 c1e3 c5e3 e1e3 e4g5 c2c4 f7f5 d3c5 d8d1 g1h2 b7f3 g2f3 f5f4 e3d3 d1d3 c5d3 g5f3 h2g2 f3g5 b1c3 f4f3 g2g3 h7h5 h3h4 g5e6 c3d5 e6d4 a1a6 c7c5 c4b5 d4b5 g3f2 g8h7 d3c5 f8f5 c5e6 f5d5 e6g5 d5g5 h4g5 b5d4 b3b4 h5h4 b4b5 d4b5 f2f3 b5c7 a6a5 c7e6 f3g4 h4h3 g4h3 e6d4 h3g4 d4c6 a5c5 c6d4 b2b4 d4b3 c5d5 h7g6 b4b5 b3a5 b5b6 a5b7 d5d7 b7a5 b6b7 a5c4 b7b8q c4e3 g4f4 e3g2 f4g3 g2h4 g3h4 g6f5 d7e7 f5g6 b8b1,aichessathon-round-28-dgs-elo.log,aichessathon-round-28-dgs-elo.pgn
2026-09-07T11:00:55+00:00,unknown,black,Quant Larper,,0.5,fifty_moves,239,,0,0,0,c5c4 d3b1 f6h5 b2b3 b7b5 a2a4 b5b4 b3c4 d5c4 d2c4 c8a6 c4e5 c6e5 g3e5 a8c8 g2g4 h5f6 e5f6 e7f6 c3b4 a6b7 d1d3 g7g6 e1g1 b7f3 h2h3 d8d6 b4b5 f8d8 a1a2 e6e5 d4e5 d6e5 e2d4 f3b7 a4a5 e5d5 f2f3 f6d4 e3d4 d5d6 d3d2 c8c4 a5a6 c4d4 d2h2 d6b6 a6b7 d4d2 f1f2 d2d1 g1g2 d1b1 f2b2 b1b2 a2b2 b6b7 h2e5 d8d5 e5e8 g8g7 h3h4 d5d3 e8e5 g7g8 e5e4 b7e4 f3e4 d3e3 b2b4 e3a3 b4d4 a3b3 d4d5 b3e3 d5d4 e3b3 d4d5 b3e3 e4e5 g8f8 d5c5 h7h5 g4h5 g6h5 g2f2 e3e4 f2g3 e4g4 g3h3 f8e7 c5c7 e7e6 c7a7 g4b4 a7b7 e6e5 b5b6 f7f5 b7b8 b4b3 h3g2 e5f4 b6b7 b3g3 g2h2 g3g7 h2h3 g7f7 h3g2 f7d7 g2h2 f4f3 b8h8 d7b7 h8h5 f5f4 h5g5 b7b2 h2h3 b2b1 h3h2 f3e4 g5a5 b1b2 h2h3 f4f3 h4h5 b2d2 h5h6 d2d6 a5a4 e4e3 a4a3 e3f4 a3a4 f4e5 h3g3 d6h6 g3f3 h6h3 f3g4 h3h7 a4a5 e5d4 a5a8 h7f7 a8d8 d4e5 d8e8 e5d5 e8d8 d5e6 d8e8 e6d6 e8d8 d6e6 d8e8 e6d6 g4g3 d6d5 e8d8 d5e5 d8e8 e5d4 e8d8 d4e3 d8e8 e3d3 e8d8 d3e3 d8e8 e3d3 g3g2 d3d4 e8d8 d4e4 d8e8 e4f4 g2f2 f7d7 e8f8 f4e4 f2e2 d7b7 f8e8 e4f4 e2d2 b7b3 e8f8 f4e4 f8e8 e4d4 e8d8 d4e5 d8e8 e5d6 e8d8 d6e7 d8c8 b3a3 c8c6 a3a2 d2d3 a2h2 d3d4 e7d7 c6f6 d7e7 f6a6 h2d2 d4e4 d2f2 a6b6 f2e2 e4d5 e2d2 d5e5 d2e2 e5d5 e2d2 d5e4 d2h2 b6b8 e7e6 b8e8 e6d6 e8d8 d6e6 d8b8 h2h4 e4f3 h4h2 b8b7 e6d5 f3g3 h2a2 g3g4 d5e5,aichessathon-round-29-quant-larper.log,aichessathon-round-29-quant-larper.pgn
2026-09-07T11:00:55+00:00,unknown,white,3D,,0.0,checkmate,107,,0,0,0,c8d7 e1g1 d7g4 h2h3 g4f3 e2f3 b8c6 d4d5 c6e5 f3e2 c7c6 f4e3 a7a6 f2f4 e5d7 d5c6 b7c6 a2a3 d8c7 f4f5 d7e5 b2b3 a8d8 f5g6 h7g6 d1d2 e7e6 e3g5 e5d7 a1d1 a6a5 d2f4 e6e5 f4h4 d6d5 e4d5 c7d6 d5c6 d6c6 c3d5 f6d5 g5d8 d5e3 e2f3 c6a6 d8g5 e3d1 f1d1 d7f6 h4f2 a5a4 f2e2 a6a5 b3b4 a5b6 g1h1 f8c8 c2c4 b6a6 g5f6 a6f6 c4c5 f6e6 f3d5 e6e7 e2c4 c8f8 c5c6 g8h7 b4b5 e7a7 d5f3 e5e4 f3e4 a7c7 c4a4 c7g3 e4f3 g7e5 h1g1 e5d6 a4d4 d6e5 d4b4 f8e8 g1f1 g3h2 b5b6 h2h1 f1f2 h1h2 b4c5 e5g3 f2f1 g3h4 c6c7 h2g3 f3e2 e8e3 f1g1 e3e2 c5d5 e2e1 d1e1 g3e1 g1h2 h4g3,aichessathon-round-38-3d.log,aichessathon-round-38-3d.pgn
2026-09-07T11:00:55+00:00,unknown,white,AGS,,0.0,checkmate,137,,0,0,0,c6d4 f3g3 e8g8 d2d3 d8d7 c3d5 f6d5 e4d5 c7c6 d5c6 d7c6 c2c3 d4b3 a2b3 f7f5 d3d4 e7f6 d4e5 d6e5 c1g5 f5f4 g3g4 a8e8 a1a5 e8e6 e1a1 f4f3 g5e3 f3g2 a5a6 c6a6 a1a6 e6a6 c3c4 f6d8 c4b5 a6g6 g4c4 g8h8 e3c5 d8b6 c5b6 g6b6 g1g2 f8b8 c4h4 b6b5 h4e7 b5b3 h3h4 b3b5 h4h5 h7h6 e7e6 e5e4 e6e4 b5h5 g2f1 h5b5 f1g2 b5b2 e4f4 b2b6 g2h3 b8e8 f4f7 e8e1 f7c7 b6g6 c7d8 h8h7 d8d5 e1f1 d5f3 f1b1 f3e4 b1b5 h3h4 b5g5 f2f4 g5g1 h4h3 h6h5 h3h2 g1g4 h2h3 h7h6 e4e5 g6f6 f4f5 h6h7 e5e3 f6f5 e3d2 g4f4 d2d6 g7g5 h3g2 f4f2 g2h1 h5h4 d6e6 g5g4 e6e7 h7h6 e7e6 f5f6 e6e3 f2f4 h1h2 f6f8 h2g2 h6h5 e3e5 f4f5 e5a1 h4h3 g2g1 g4g3 a1b1 f5f1 b1f1 h3h2 g1g2 f8f1 g2f1 h2h1q f1e2 g3g2 e2d3 g2g1q d3c3 g1c5 c3d2 c5d4 d2e2 h1d1,aichessathon-round-39-ags.log,aichessathon-round-39-ags.pgn
2026-09-07T11:00:55+00:00,unknown,black,pedede,,0.5,threefold_repetition,127,,0,0,0,e3c1 e7e6 d5f4 g4f6 g1f3 e8g8 e1g1 d6d5 e4d5 e6d5 d3d4 c5d4 f3d4 c8g4 d4c6 b7c6 g2f3 g4f3 d1f3 f8e8 c1e3 a8b8 f4d3 f6d7 a1a2 d8f6 f3f6 g7f6 a4a5 d5d4 e3f4 b8b5 b2b4 c6c5 b4c5 d7c5 d3c5 b5c5 f1b1 g6g5 f4d6 c5d5 d6c7 d5d7 c7b6 e8e2 g1f1 d4d3 b1d1 d3c2 a2c2 e2f2 f1f2 d7d1 c2c8 g8g7 c8a8 d1d6 f2e3 g7g6 a8a6 f6d4 e3f3 h7h5 h2h3 d6e6 f3g2 g5g4 g2h2 d4e3 h3g4 h5g4 h2h1 e3c5 h1g2 e6f6 g2h2 f6d6 h2g2 d6f6 g2h2 c5e3 h2h1 g6g7 h1g2 f6d6 g2f1 g7g6 f1e2 e3g1 e2f1 g1d4 f1e2 d6f6 e2d3 d4f2 d3c4 f2g3 a6a8 g3f2 b6f2 f6f2 a8g8 g6f5 a5a6 f2a2 c4b5 f5f4 b5b6 a2b2 b6c5 b2a2 c5b6 g4g3 a6a7 f4f3 g8f8 g3g2 f8f7 f3e4 f7e7 e4f3 e7f7 f3e4 f7e7 e4f3 e7f7,aichessathon-round-40-pedede.log,aichessathon-round-40-pedede.pgn
2026-09-07T11:00:55+00:00,712f2aa,black,archierayteam,,1.0,checkmate,139,11,128.53,0,1,c5b6 f1b5 b8c6 g1e2 g8f6 e1g1 e8g8 c1f4 f6e4 c2c3 c8g4 b5c6 b7c6 f4e3 f8e8 d1c2 e4f2 e3b6 d8b6 e2d4 f2e4 h2h3 g4d7 b3d2 e4g3 f1e1 g3e2 g1h1 e2d4 c3d4 b6d4 d2f3 d4f4 a2a3 a8b8 c2c3 a7a5 e1e8 b8e8 a1e1 a5a4 e1e8 d7e8 c3e1 f4e4 e1c3 h7h5 h1g1 f7f6 h3h4 e4f4 c3c5 e8d7 c5c3 f4d6 c3d3 d6c5 g1h1 c5c1 h1h2 c1b2 d3e3 b2b8 h2g1 b8d6 g1f2 c6c5 f3d2 d5d4 e3e4 g8f7 e4f3 d7g4 f3e4 f6f5 e4c2 d6f4 f2g1 f4e3 g1h2 d4d3 c2c3 f7e6 c3c4 e6e7 c4c1 e7f6 h2h1 f6g6 h1h2 e3f4 h2g1 f4d4 g1h2 d4f4 h2h1 g4e2 c1c4 f4c4 d2c4 f5f4 h1g1 g6f5 g1f2 f5e4 c4b2 e4d4 g2g3 f4g3 f2g3 c5c4 b2c4 d4c4 g3f2 c4d4 f2e1 d4c3 e1f2 e2g4 f2g3 d3d2 g3g2 g4e2 g2f2 d2d1q f2g2 d1f1 g2g3 f1d1 g3h2 e2g4 h2g2 d1f3 g2g1 f3e2 g1h1 g4h3 h1g1 e2g2,aichessathon-round-41-archierayteam.log,aichessathon-round-41-archierayteam.pgn
2026-09-07T11:00:55+00:00,712f2aa,white,The Huxley Knights,,0.0,checkmate,119,13,134.68,0,1,c8e6 d3d4 c5d4 f3d4 e6d7 c1e3 f6g4 g2h3 g4e3 h3d7 d8d7 f2e3 h7h5 d1f3 c6e5 f3f2 h5h4 g3h4 d7g4 f2g3 g4h4 g3h4 h8h4 f1f4 h4h5 c3d5 g7h6 f4f2 e5g4 f2e2 h5d5 e4d5 h6e3 e2e3 g4e3 d4b5 e3c2 a1d1 a7a6 b5a3 c2a3 b2a3 b8c8 d1b1 c8c7 g1f2 f7f5 f2e2 e8f7 e2d3 g6g5 b1b3 f5f4 h2h4 g5h4 b3b4 e7e5 d5e6 f7e6 b4f4 c7h7 f4f1 h4h3 f1h1 h3h2 d3e3 d6d5 e3d4 h7h4 d4e3 d5d4 e3f3 e6e5 a4a5 h4h3 f3g2 h3a3 g2h2 a3a5 h2g2 a5a3 h1h5 e5e4 h5h4 e4d5 h4h7 b7b5 g2f1 a6a5 f1e2 a3e3 e2d2 a5a4 h7c7 a4a3 c7c8 b5b4 c8a8 d5c4 a8c8 c4b3 c8c1 a3a2 d2d1 e3c3 c1a1 b3b2 a1a2 b2a2 d1e2 b4b3 e2e1 b3b2 e1f2 b2b1q f2g2 b1b2 g2h1 c3c1,aichessathon-round-42-the-huxley-knights.log,aichessathon-round-42-the-huxley-knights.pgn
