fen,result
"r2qkb1r/1bppppp1/1pn2n2/p6p/7P/BPN2NP1/P1PPPP2/R2QKB1R w KQkq - 1 7",1.0
"r2qkb1r/1b1pppp1/1p3n2/p1p3Np/1n5P/BPN3P1/P1PPPP2/R2QKBR1 w Qkq - 0 9",1.0
"r2qkb1r/3pppp1/1pn2n2/p1p3Np/7P/BPN3P1/P1PPPPR1/R2QK3 w Qkq - 1 11",1.0
"r2qkb1r/3p1p2/1pn2np1/pNp1p1Np/7P/1P4P1/PBPPPPR1/R2QK3 w Qkq - 0 13",1.0
"r2qk2r/3pbp2/1pn3p1/p1p1p1Np/P5nP/1PN3P1/1BPPPPR1/R2QK3 w Qkq - 3 15",1.0
"r2q1rk1/4bp2/1pn3p1/p1ppp1Np/P5nP/1PN3P1/1BPPPPR1/R2QK3 w Q - 2 17",1.0
"r2q1rk1/5p2/1pn3p1/p1p1p1Pp/P2p2n1/1PN2PP1/1BPPP1R1/R2QK3 w Q - 0 19",1.0
"r4rk1/5p2/1pn3p1/pNp1p2p/P2p2q1/1P4P1/1BPPP1R1/R2QK3 w Q - 0 21",1.0
"3r1rk1/5p2/1pn3p1/p1p1p3/P1Np2qp/1P4P1/1BPPP1R1/R2QK3 w Q - 0 23",1.0
"3r1rk1/5p2/1pn3p1/p1p1p3/P1Npq3/1P2P1Pp/1BPP4/R2QK1R1 w Q - 0 25",1.0
"3r1rk1/5p2/1pn3p1/p1p1p3/P1Np4/1P1PP1P1/1BP3qp/R2QKR2 w Q - 2 27",1.0
"3r1rk1/5p2/1p4p1/p1p1Nq2/P7/1P1PQ3/2PK4/R7 w - - 1 35",1.0
"3r1r2/4Npk1/1p3qp1/p1p5/P7/1P1PQ3/2PK4/R7 w - - 5 37",1.0
"3r1r2/4Np2/1p3q1k/p1p3p1/P7/1P1PQ3/2PK4/6R1 w - - 2 39",1.0
"3r1r2/4Npk1/1p3q2/p1p4R/P5p1/1P1PQ3/2PK4/8 w - - 0 41",1.0
"3r1r2/5pk1/1p3q1N/p1p4R/P5p1/1P1PQ3/2PK4/8 w - - 4 43",1.0
